,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,state
74,74,0.20123359999999998,2021-03-18 13:18:54.621430,2021-03-18 13:27:19.491290,0 days 00:08:24.869860000,256,10000,auto,0.9999,0,-1.3346985148859813,0.004618311016478766,medium,0.02,16,PRUNED
75,75,-399.88788919999996,2021-03-18 13:27:19.492549,2021-03-18 13:34:15.997487,0 days 00:06:56.504938000,256,10000,auto,0.99,0,-0.9809428440042346,0.02635441145065625,medium,0.02,16,PRUNED
76,76,,2021-03-18 13:27:58.415057,2021-03-18 13:34:56.441407,0 days 00:06:58.026350000,256,10000,auto,0.99,0,-0.991375297101416,0.025304203283926553,medium,0.02,16,PRUNED
77,77,560.1119328,2021-03-18 13:34:15.998605,2021-03-18 13:58:49.185002,0 days 00:24:33.186397000,256,10000,auto,0.9999,0,-1.4933484889268802,0.007197301833908728,medium,0.02,16,COMPLETE
78,78,-0.375213,2021-03-18 13:34:56.442040,2021-03-18 13:42:06.469614,0 days 00:07:10.027574000,256,10000,auto,0.9999,0,-1.6069264124643614,0.008505733984328889,medium,0.02,16,PRUNED
79,79,-1.4683864000000002,2021-03-18 13:42:06.470813,2021-03-18 13:57:29.621546,0 days 00:15:23.150733000,2048,1000000,auto,0.9999,0,-1.5152305817520695,0.003444938745924299,medium,0.02,16,PRUNED
80,80,-0.3843248,2021-03-18 13:57:29.622766,2021-03-18 14:04:31.515072,0 days 00:07:01.892306000,256,10000,auto,0.9999,0,-1.0974739617207818,0.006014594793050999,medium,0.02,16,PRUNED
81,81,112.38315120000001,2021-03-18 13:58:49.186942,2021-03-18 14:12:25.967764,0 days 00:13:36.780822000,256,10000,auto,0.9999,0,-1.7913016740525867,0.0020566959403542063,medium,0.02,16,PRUNED
82,82,842.542756,2021-03-18 14:04:31.518422,2021-03-18 14:27:48.231424,0 days 00:23:16.713002000,256,10000,auto,0.9999,0,-1.796998129432273,0.01521237315637888,medium,0.02,16,COMPLETE
83,83,-399.9431302,2021-03-18 14:12:25.968785,2021-03-18 14:19:32.485049,0 days 00:07:06.516264000,512,10000,auto,0.999,0,-1.9294154728738904,0.014875408553333767,medium,0.02,64,PRUNED
84,84,-399.896508,2021-03-18 14:19:32.486401,2021-03-18 14:28:08.018575,0 days 00:08:35.532174000,2048,10000,auto,0.9999,0,-0.7226183843239432,0.08261679578995668,medium,0.01,512,PRUNED
85,85,797.423451,2021-03-18 14:27:48.233822,2021-03-18 14:51:03.693142,0 days 00:23:15.459320000,256,10000,auto,0.9999,0,-1.285335287287658,0.002698322583542619,medium,0.02,256,COMPLETE
86,86,-0.042693600000000005,2021-03-18 14:28:08.019428,2021-03-18 14:34:51.789861,0 days 00:06:43.770433000,256,10000,auto,0.9999,1000,0.17837912975939435,0.0027243968905809866,medium,0.02,256,PRUNED
87,87,-0.17659180000000002,2021-03-18 14:34:51.791065,2021-03-18 14:47:40.227962,0 days 00:12:48.436897000,256,10000,auto,0.995,0,-1.25515651317454,0.005389797121644412,medium,0.02,8,PRUNED
88,88,2.3272082000000003,2021-03-18 14:47:40.231263,2021-03-18 14:49:31.322362,0 days 00:01:51.091099000,256,10000,auto,0.9999,20000,-1.414443286413005,0.010576858405154543,medium,0.02,256,PRUNED
89,89,-0.23088820000000002,2021-03-18 14:49:31.323576,2021-03-18 14:56:16.918687,0 days 00:06:45.595111000,256,10000,auto,0.9999,0,0.8908000002320184,0.0028796771971103877,medium,0.02,256,PRUNED
