,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_starts,params_lr,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
60,60,-303.4630598,2021-05-04 12:38:21.966718,2021-05-04 12:41:19.411790,0 days 00:02:57.445072000,16,100000,0.04938625120328692,0.39170492133609086,0.99,10000,0.0004612085563135118,medium,4,1000,1,PRUNED
61,61,295.7531282,2021-05-04 12:40:58.183433,2021-05-04 12:56:04.287202,0 days 00:15:06.103769000,16,100000,0.05305513450723837,0.4352206761591574,0.9,10000,5.37471130586121e-05,medium,4,1000,1,COMPLETE
62,62,-319.794954,2021-05-04 12:41:19.414181,2021-05-04 12:47:44.018143,0 days 00:06:24.603962000,100,100000,0.001661651181251049,0.43488293465454814,0.9,10000,5.224846060186075e-05,medium,4,1000,1000,COMPLETE
63,63,368.04879539999996,2021-05-04 12:42:45.904388,2021-05-04 13:00:08.846999,0 days 00:17:22.942611000,100,100000,0.001065174190582649,0.42729608860564233,0.95,10000,7.599541512517823e-05,medium,4,1000,1,COMPLETE
64,64,300.6211254,2021-05-04 12:47:44.027099,2021-05-04 13:03:11.894102,0 days 00:15:27.867003000,100,100000,0.010151059398625033,0.465876453515894,0.95,10000,7.441077029699943e-05,medium,4,1000,1,COMPLETE
65,65,414.8867508,2021-05-04 12:56:04.292843,2021-05-04 13:11:06.617680,0 days 00:15:02.324837000,100,100000,0.011402545197881347,0.48650941493614885,0.95,10000,7.948686319250625e-05,medium,4,1000,1,COMPLETE
66,66,495.23507559999996,2021-05-04 13:00:08.851340,2021-05-04 13:15:25.160724,0 days 00:15:16.309384000,100,100000,0.06086259450133696,0.4201623783812272,0.95,10000,0.00012961358453517178,medium,4,1000,1,COMPLETE
67,67,369.0885568,2021-05-04 13:03:11.897558,2021-05-04 13:08:38.610780,0 days 00:05:26.713222000,100,50000,0.034336237769116526,0.42053551997800853,0.98,10000,0.0002319179343790914,medium,4,1000,8,COMPLETE
68,68,-191.7899814,2021-05-04 13:08:38.614501,2021-05-04 13:11:55.761676,0 days 00:03:17.147175000,100,50000,0.0006864115934930746,0.4864846626148729,0.98,10000,0.00013446162391910838,tiny,4,15000,8,COMPLETE
69,69,-242.77708360000003,2021-05-04 13:11:06.620777,2021-05-04 13:14:15.164582,0 days 00:03:08.543805000,100,50000,0.013819109333077905,0.4891757657122573,0.98,10000,0.00013474105040209584,tiny,4,15000,8,COMPLETE
70,70,-317.740887,2021-05-04 13:11:55.765355,2021-05-04 13:13:06.403923,0 days 00:01:10.638568000,32,50000,0.012675561812768054,0.4191901400640947,0.98,10000,0.00011829527451635845,medium,4,5000,8,PRUNED
71,71,201.32560320000002,2021-05-04 13:13:06.405196,2021-05-04 13:19:40.198286,0 days 00:06:33.793090000,128,50000,0.03305778696359943,0.4837285261219902,0.95,10000,0.00025117356337228127,medium,4,1000,8,COMPLETE
72,72,-369.5011986,2021-05-04 13:14:15.170724,2021-05-04 13:14:57.920294,0 days 00:00:42.749570000,128,50000,0.03102756873132273,0.45868076588321066,0.95,20000,0.00025557420192824653,medium,4,1000,8,PRUNED
73,73,-356.9816022,2021-05-04 13:14:57.921778,2021-05-04 13:17:56.751795,0 days 00:02:58.830017000,100,100000,0.032694722407785336,0.4078981652921892,0.95,10000,8.80315978619414e-05,medium,4,1000,1,PRUNED
74,74,-247.24028040000002,2021-05-04 13:15:25.163044,2021-05-04 13:29:43.324278,0 days 00:14:18.161234000,100,50000,0.03412759178517136,0.42490321484659793,0.95,10000,9.508538309399322e-05,medium,4,1000,1,COMPLETE
75,75,432.11323039999996,2021-05-04 13:17:56.754378,2021-05-04 13:32:28.244593,0 days 00:14:31.490215000,100,50000,0.005972044393421021,0.41927226315002264,0.95,10000,0.00023005755866789435,medium,4,1000,1,COMPLETE
76,76,-248.7090052,2021-05-04 13:19:40.202393,2021-05-04 13:35:46.773860,0 days 00:16:06.571467000,100,100000,0.00634843515489585,0.42592671480894995,0.95,10000,3.1905101756835e-05,medium,4,1,1,COMPLETE
77,77,-69.40962499999999,2021-05-04 13:29:43.326869,2021-05-04 13:38:39.909750,0 days 00:08:56.582881000,64,100000,0.02135086223435327,0.44990003385392074,0.95,10000,3.6453586703990056e-05,medium,4,1,128,COMPLETE
78,78,387.448812,2021-05-04 13:32:28.247957,2021-05-04 13:42:13.752196,0 days 00:09:45.504239000,64,50000,0.022427732786281997,0.4528957288937462,0.95,10000,0.0003967813330139924,medium,4,1,128,COMPLETE
79,79,-263.177801,2021-05-04 13:35:46.777602,2021-05-04 13:37:16.858547,0 days 00:01:30.080945000,64,50000,0.020373044018149395,0.4507900905813707,0.98,1000,0.0004202463733505505,medium,4,1000,128,PRUNED
80,80,420.35154759999995,2021-05-04 13:37:16.861229,2021-05-04 13:53:18.050674,0 days 00:16:01.189445000,100,50000,0.045348660169865,0.3626618274433942,0.9999,10000,0.00015735366100005346,medium,1,10000,4,COMPLETE
81,81,188.640308,2021-05-04 13:38:39.914421,2021-05-04 13:55:14.047227,0 days 00:16:34.132806000,100,50000,0.048063029029360924,0.46282493284401793,0.995,5000,0.00012978207260082157,medium,1,10000,4,COMPLETE
82,82,757.2683762,2021-05-04 13:42:13.755865,2021-05-04 14:01:53.876542,0 days 00:19:40.120677000,64,50000,0.007488165014642017,0.46598356875637115,0.95,5000,0.000353345296653587,medium,1,1,128,COMPLETE
83,83,288.28967819999997,2021-05-04 13:53:18.055807,2021-05-04 14:07:16.669767,0 days 00:13:58.613960000,64,50000,0.0447121690742263,0.3677164289457954,0.9999,10000,0.00013509915613734653,medium,1,10000,4,COMPLETE
84,84,-124.8435964,2021-05-04 13:55:14.051444,2021-05-04 14:13:51.102584,0 days 00:18:37.051140000,64,50000,0.04122200014907727,0.4995357933828573,0.9999,10000,0.00017686542059379713,medium,1,1,4,COMPLETE
85,85,-41.076939599999996,2021-05-04 14:01:53.881762,2021-05-04 14:09:53.233168,0 days 00:07:59.351406000,64,50000,0.0092595236711504,0.4952887295728693,0.9999,5000,0.0003596710922186349,medium,1,1,128,PRUNED
86,86,11.263124399999999,2021-05-04 14:07:16.672147,2021-05-04 14:24:49.673516,0 days 00:17:33.001369000,64,50000,0.008657494728296508,0.498411658374024,0.9999,5000,0.0007121393695564852,medium,1,1,128,COMPLETE
87,87,126.7082576,2021-05-04 14:09:53.235449,2021-05-04 14:28:20.765458,0 days 00:18:27.530009000,64,50000,0.015605618379086503,0.4737838208097775,0.9999,5000,0.00020189708039793886,medium,1,1,128,COMPLETE
88,88,324.358234,2021-05-04 14:13:51.105834,2021-05-04 14:34:07.836581,0 days 00:20:16.730747000,64,50000,0.07786085707594471,0.3386884172423123,0.95,5000,0.0003431179410386518,medium,1,1,128,COMPLETE
89,89,-116.47382499999999,2021-05-04 14:24:49.679912,2021-05-04 14:37:48.611056,0 days 00:12:58.931144000,64,50000,0.01573675998466601,0.40179510301914123,0.95,5000,0.003320612937433685,small,1,1,128,COMPLETE
90,90,7.437932799999999,2021-05-04 14:28:20.770453,2021-05-04 14:38:02.049155,0 days 00:09:41.278702000,64,50000,0.06511325822519426,0.39163299063673757,0.95,20000,0.00034324697144474036,small,1,10000,128,COMPLETE
91,91,142.98328120000002,2021-05-04 14:34:07.840369,2021-05-04 14:43:11.613336,0 days 00:09:03.772967000,100,50000,0.06633040571460708,0.40415579895283604,0.95,20000,0.0011133945501627855,small,1,10000,256,COMPLETE
92,92,-366.75466259999996,2021-05-04 14:37:48.612602,2021-05-04 14:39:23.956126,0 days 00:01:35.343524000,100,50000,0.06433511614326913,0.44883560752250834,0.95,20000,0.000969117133502618,medium,1,10000,256,PRUNED
93,93,-366.997249,2021-05-04 14:38:02.054261,2021-05-04 14:39:07.823954,0 days 00:01:05.769693000,100,50000,0.026640491736746902,0.44490040257393215,0.95,10000,6.555037172827262e-05,medium,4,10000,256,PRUNED
